시도	시군구	읍면동	주택유형	단지명	소재지	입주시기	총세대수	매매시세(3.3㎡)	분양가(3.3㎡)	시공사	lon	lat
부산	사하구	괴정동	아파트	대티역스마트더블유인공지능	부산 사하구 괴정동 323-1	2019-09	198	1072	1233	(주)경성리츠	129.0006488006413	35.10280860816859
부산	영도구	남항동1가	아파트	더킹페로스	부산 영도구 남항동1가 86	2019-05	133	1202	1230	주식회사에이투지건설	129.03835789886944	35.09050551540626
부산	동래구	온천동	아파트	동래효산벨뷰	부산 동래구 온천동 1249-2	2020-04	76	0	1230	(주)효산개발	129.06696282615607	35.20467819944688
부산	수영구	민락동	아파트	e편한세상오션테라스1단지	부산 수영구 민락동 780	2020-01	294	2105	1229	(주)삼호	129.1284732239982	35.15582885864162
부산	해운대구	재송동	아파트	협성루에나센텀	부산 해운대구 재송동 210-10	2023-01	171	0	1229	주식회사 협성	129.1215683	35.1882927
부산	부산진구	전포동	아파트	서면아이파크1단지	부산 부산진구 전포동 908	2021-08	1862	2000	1225	현대산업개발(주)	129.069726	35.1560381
대구	동구	괴전동	아파트	안심역삼정그린코아더베스트	대구 동구 괴전동 655	2021-11	638	1075	1224	(주)삼정	128.7369984	35.8732827
부산	부산진구	부암동	아파트	시민공원일동미라주시티	부산 부산진구 부암동 304-14	2022-01	270	976	1224	(주)일동	129.0499301	35.1674749
서울	동대문구	휘경동	아파트	휘경제이스카이	서울 동대문구 휘경동 369	2016-09	64	2023	1221	정은산업(주)	127.05761698619459	37.589068879716294
부산	부산진구	전포동	아파트	스윗팰리스	부산 부산진구 전포동 312-31	2018-05	90	0	1221	주식회사지노종합건설	129.06576876675467	35.15480821576673
대구	중구	남산동	아파트	e편한세상남산	대구 중구 남산동 3016	2020-05	420	1872	1221	(주)삼 호	128.5851836720369	35.865129229173526
부산	남구	문현동	아파트	문현경동리인	부산 남구 문현동 1244	2020-07	600	1317	1221	경동건설(주)	129.07364280238176	35.14048036884479
대구	동구	방촌동	아파트	방촌역태왕아너스	대구 동구 방촌동 1150	2021-03	256	1197	1221	(주)태왕E&C	128.667834	35.88103
대구	수성구	노변동	아파트	수성알파시티청아람	대구 수성구 노변동 742	2021-06	844	1776	1216	(주)한진중공업, 거대종합건설(주), (주)명덕건설	128.69713027483752	35.83461473767
부산	해운대구	중동	아파트	달맞이유림노르웨이숲	부산 해운대구 중동 1821	2017-07	364	1795	1214	(주)유림 E&C	129.1741833894591	35.16072106264573
부산	남구	우암동	아파트	이안오션파크W	부산 남구 우암동 266	2022-07	155	1290	1214	대우산업개발(주)	129.0804431	35.1253061
부산	동래구	온천동	아파트	온천삼정그린코아더베스트	부산 동래구 온천동 1842	2019-08	421	1434	1211	없음	129.084142495417	35.2193624279564
부산	동구	초량동	아파트	초량역지원더뷰오션1차	부산 동구 초량동 1161-1	2018-10	193	1333	1209	서울조경건설(주)	129.0451156549325	35.12225711135462
부산	북구	덕천동	아파트	덕천역이즈카운티	부산 북구 덕천동 355-4	2019-10	275	1049	1206	창비건설(주),이즈건설(주)	129.00984661127018	35.212191584699674
대구	달성군	화원읍	아파트	화원신일해피트리꿈의숲	대구 달성군 화원읍 설화리 975	2022-07	553	829	1205	(주)신일	128.484465	35.7904444
부산	서구	서대신동2가	아파트	대신2차푸르지오	부산 서구 서대신동2가 570	2021-01	815	1712	1204	(주)대우건설	129.0122898	35.1092872
부산	동구	좌천동	아파트	부산항일동미라주더오션	부산 동구 좌천동 1176	2021-12	614	1561	1200	없음	129.0523271	35.1316305
부산	해운대구	우동	아파트	해운대자이2차	부산 해운대구 우동 1536	2018-01	813	2989	1198	GS건설	129.14419072072346	35.1685483604752
부산	부산진구	범천동	아파트	범일역이즈	부산 부산진구 범천동 886-41	2019-07	205	1080	1195	창비건설(주),(주)아이즈	129.0588334394643	35.14335312141593
대구	북구	고성동3가	아파트	오페라트루엘시민의숲	대구 북구 고성동3가 145	2020-05	682	1524	1190	일성건설주식회사	128.58463232615938	35.88274936077723
대구	북구	칠성동2가	아파트	대구역한라하우젠트센텀	대구 북구 칠성동2가 738	2021-10	288	1097	1189	(주)한라공영	128.5915715	35.8779429
